# Horizon-memory effective dark energy density fraction
# Model: lambda_hor=0.156, tau_hor=0.1
# z    Omega_de(z)
0.000000  0.69991000
0.101010  0.63095710
0.202020  0.56263801
0.303030  0.49748755
0.404040  0.43725648
0.505051  0.38290177
0.606061  0.33472540
0.707071  0.29256827
0.808081  0.25599324
0.909091  0.22442742
1.010101  0.19725868
1.111111  0.17389381
1.212121  0.15378905
1.313131  0.13646282
1.414141  0.12149779
1.515152  0.10853732
1.616162  0.09727928
1.717172  0.08746900
1.818182  0.07889241
1.919192  0.07136970
2.020202  0.06474980
2.121212  0.05890561
2.222222  0.05372998
2.323232  0.04913240
2.424242  0.04503620
2.525253  0.04137622
2.626263  0.03809698
2.727273  0.03515105
2.828283  0.03249776
2.929293  0.03010215
3.030303  0.02793408
3.131313  0.02596748
3.232323  0.02417972
3.333333  0.02255112
3.434343  0.02106452
3.535354  0.01970491
3.636364  0.01845910
3.737374  0.01731554
3.838384  0.01626400
3.939394  0.01529547
4.040404  0.01440198
4.141414  0.01357643
4.242424  0.01281252
4.343434  0.01210463
4.444444  0.01144774
4.545455  0.01083736
4.646465  0.01026946
4.747475  0.00974042
4.848485  0.00924700
4.949495  0.00878624
5.050505  0.00835551
5.151515  0.00795240
5.252525  0.00757474
5.353535  0.00722056
5.454545  0.00688807
5.555556  0.00657564
5.656566  0.00628177
5.757576  0.00600512
5.858586  0.00574444
5.959596  0.00549861
6.060606  0.00526658
6.161616  0.00504739
6.262626  0.00484018
6.363636  0.00464414
6.464646  0.00445852
6.565657  0.00428265
6.666667  0.00411589
6.767677  0.00395766
6.868687  0.00380743
6.969697  0.00366469
7.070707  0.00352899
7.171717  0.00339990
7.272727  0.00327701
7.373737  0.00315997
7.474747  0.00304842
7.575758  0.00294206
7.676768  0.00284058
7.777778  0.00274371
7.878788  0.00265118
7.979798  0.00256276
8.080808  0.00247822
8.181818  0.00239735
8.282828  0.00231996
8.383838  0.00224586
8.484848  0.00217487
8.585859  0.00210683
8.686869  0.00204160
8.787879  0.00197903
8.888889  0.00191898
8.989899  0.00186133
9.090909  0.00180596
9.191919  0.00175276
9.292929  0.00170162
9.393939  0.00165244
9.494949  0.00160514
9.595960  0.00155961
9.696970  0.00151579
9.797980  0.00147358
9.898990  0.00143292
10.000000  0.00139373
