# Horizon-memory effective dark energy density fraction
# Model: lambda_hor=0.2, tau_hor=0.1
# z    Omega_de(z)
0.000000  0.69991000
0.101010  0.62950192
0.202020  0.55957273
0.303030  0.49287929
0.404040  0.43134014
0.505051  0.37600107
0.606061  0.32718149
0.707071  0.28469131
0.808081  0.24803827
0.909091  0.21658818
1.010101  0.18967214
1.111111  0.16664948
1.212121  0.14693941
1.313131  0.13003292
1.414141  0.11549324
1.515152  0.10295053
1.616162  0.09209417
1.717172  0.08266441
1.818182  0.07444451
1.919192  0.06725362
2.020202  0.06094072
2.121212  0.05537947
2.222222  0.05046394
2.323232  0.04610503
2.424242  0.04222759
2.525253  0.03876804
2.626263  0.03567238
2.727273  0.03289464
2.828283  0.03039550
2.929293  0.02814128
3.030303  0.02610297
3.131313  0.02425557
3.232323  0.02257741
3.333333  0.02104970
3.434343  0.01965606
3.535354  0.01838218
3.636364  0.01721556
3.737374  0.01614519
3.838384  0.01516140
3.939394  0.01425565
4.040404  0.01342039
4.141414  0.01264891
4.242424  0.01193527
4.343434  0.01127417
4.444444  0.01066087
4.545455  0.01009114
4.646465  0.00956120
4.747475  0.00906763
4.848485  0.00860739
4.949495  0.00817770
5.050505  0.00777609
5.151515  0.00740030
5.252525  0.00704829
5.353535  0.00671822
5.454545  0.00640841
5.555556  0.00611732
5.656566  0.00584357
5.757576  0.00558588
5.858586  0.00534311
5.959596  0.00511418
6.060606  0.00489812
6.161616  0.00469405
6.262626  0.00450114
6.363636  0.00431865
6.464646  0.00414587
6.565657  0.00398218
6.666667  0.00382698
6.767677  0.00367973
6.868687  0.00353993
6.969697  0.00340712
7.070707  0.00328085
7.171717  0.00316074
7.272727  0.00304642
7.373737  0.00293753
7.474747  0.00283377
7.575758  0.00273483
7.676768  0.00264043
7.777778  0.00255032
7.878788  0.00246426
7.979798  0.00238202
8.080808  0.00230340
8.181818  0.00222819
8.282828  0.00215621
8.383838  0.00208730
8.484848  0.00202128
8.585859  0.00195801
8.686869  0.00189735
8.787879  0.00183916
8.888889  0.00178332
8.989899  0.00172971
9.090909  0.00167823
9.191919  0.00162875
9.292929  0.00158120
9.393939  0.00153547
9.494949  0.00149148
9.595960  0.00144915
9.696970  0.00140839
9.797980  0.00136914
9.898990  0.00133133
10.000000  0.00129489
